id,topic,style,type,ko,en,model,prompt_version,created_at,split
8070,IT/AI,대화체,단문,요즘 클라우드 서비스가 인기야.,"These days, cloud services are really popular.",gpt-4o-mini,v2_structured,20251205_160208,train
2421,업무,대화체,원인·결과문,이 프로젝트가 성공하면 보너스를 받을 수 있어.,"If this project succeeds, we might receive a bonus.",gpt-4o-mini,v2_structured,20251205_160208,train
9250,사회/뉴스,뉴스 기사체,명령/요청문,환경 보호를 위한 새로운 캠페인이 시작된다.,A new campaign for environmental protection will be launched.,gpt-4o-mini,v2_structured,20251205_160208,train
2376,기술,고객센터 안내 스타일,명령/요청문,계정 정보를 업데이트하세요.,Please update your account information.,gpt-4o-mini,v2_structured,20251205_160208,train
6508,고객센터,감정 표현 스타일,명령/요청문,배송 상태를 확인해 주세요.,Could you please check the delivery status?,gpt-4o-mini,v2_structured,20251205_160208,train
1319,건강,조언/상담 스타일,복문,음식을 천천히 씹으면 소화에 도움이 돼.,Chewing your food slowly can aid digestion.,gpt-4o-mini,v2_structured,20251205_160208,train
5171,스포츠,고객센터 안내 스타일,복문,테니스 경기를 보면서 힘찬 서브를 기대했어요.,I was looking forward to a powerful serve while watching the tennis match.,gpt-4o-mini,v2_structured,20251205_160208,train
8635,자기계발,문어체(보고서 스타일),비교문,자기 계발은 목표 설정에 달려 있다.,Personal development largely depends on setting clear goals.,gpt-4o-mini,v2_structured,20251205_160208,train
6484,고객센터,감정 표현 스타일,조건문,"불편을 드려서 죄송합니다, 해결할게요.",I apologize for the inconvenience and will work to resolve it.,gpt-4o-mini,v2_structured,20251205_160208,train
2349,기술,고객센터 안내 스타일,비교문,이용 약관을 읽는 것은 중요해요.,Reading the terms of service is important.,gpt-4o-mini,v2_structured,20251205_160208,train
132,여행,SNS 스타일,복문,"유럽 여행은 항상 꿈이었는데, 드디어 실현했어!","Traveling to Europe has always been a dream of mine, and I finally made it happen!",gpt-4o-mini,v2_structured,20251205_160208,train
8585,자기계발,대화체,원인·결과문,계획을 세우면 목표를 이룰 수 있어.,"When you make a plan, you can achieve your goals.",gpt-4o-mini,v2_structured,20251205_160208,train
587,일상생활,문어체(보고서 스타일),명령/요청문,이제부터 운동을 시작해야 해.,I need to start exercising from now on.,gpt-4o-mini,v2_structured,20251205_160208,train
3129,교육,기술 설명체,비교문,프로젝트 기반 학습은 실질적인 경험을 중시한다.,Project-based learning values practical experience.,gpt-4o-mini,v2_structured,20251205_160208,train
458,여행,고객센터 안내 스타일,원인·결과문,여행을 가고 싶다면 미리 예약하세요.,"If you want to travel, please make a reservation in advance.",gpt-4o-mini,v2_structured,20251205_160208,train
4075,감정표현,기술 설명체,원인·결과문,감사함은 소중한 것들을 인식할 때 느껴진다.,Gratitude is felt when one recognizes valuable things.,gpt-4o-mini,v2_structured,20251205_160208,train
7454,쇼핑,감정 표현 스타일,원인·결과문,이 옷은 너무 예뻐서 사지 않을 수가 없어.,I can't help but buy this dress because it's so beautiful.,gpt-4o-mini,v2_structured,20251205_160208,train
7650,직장 관계,대화체,명령/요청문,다음 주에 중요한 발표가 있어.,There's an important presentation next week.,gpt-4o-mini,v2_structured,20251205_160208,train
7523,쇼핑,조언/상담 스타일,명령/요청문,할인 쿠폰을 꼭 챙기세요.,Make sure to take your discount coupons with you.,gpt-4o-mini,v2_structured,20251205_160208,train
7841,직장 관계,기술 설명체,복문,회의 중에 모든 의견을 존중해야 해.,"During meetings, it's important to respect all opinions.",gpt-4o-mini,v2_structured,20251205_160208,train
7583,쇼핑,고객센터 안내 스타일,명령/요청문,반품 절차를 안내해 드릴게요.,I will guide you through the return process.,gpt-4o-mini,v2_structured,20251205_160208,train
3185,교육,감정 표현 스타일,비교문,학습의 과정은 마치 자전거를 배우는 것과 같다.,The process of learning is much like learning to ride a bicycle.,gpt-4o-mini,v2_structured,20251205_160208,train
5636,기후/날씨,고객센터 안내 스타일,단문,내일 비가 올 가능성이 있습니다.,There is a possibility of rain tomorrow.,gpt-4o-mini,v2_structured,20251205_160208,train
3466,시간관리,SNS 스타일,복문,정해진 시간에 일을 끝내는 습관을 들여보자.,Let's get into the habit of finishing tasks by a set time.,gpt-4o-mini,v2_structured,20251205_160208,train
1146,건강,뉴스 기사체,조건문,잠을 충분히 자면 집중력이 향상된다.,Getting enough sleep will improve your concentration.,gpt-4o-mini,v2_structured,20251205_160208,train
7782,직장 관계,뉴스 기사체,복문,회의 중 의견을 제시하는 것이 때때로 어려울 수 있습니다.,It can sometimes be difficult to express opinions during meetings.,gpt-4o-mini,v2_structured,20251205_160208,train
8661,자기계발,문어체(보고서 스타일),명령/요청문,멘토의 조언을 듣는 것도 큰 도움이 될 수 있습니다.,Listening to a mentor's advice can be very helpful.,gpt-4o-mini,v2_structured,20251205_160208,train
1740,식당,감정 표현 스타일,조건문,이 식당이 좋다면 친구를 데려와.,"If you like this restaurant, bring your friends along.",gpt-4o-mini,v2_structured,20251205_160208,train
7324,쇼핑,뉴스 기사체,비교문,"전자상거래는 빠르게 성장하고 있지만, 전통적인 상점도 여전히 중요하다.","E-commerce is rapidly growing, yet traditional stores still hold significant importance.",gpt-4o-mini,v2_structured,20251205_160208,train
4869,스포츠,SNS 스타일,단문,팀워크가 정말 중요해.,Teamwork is really important.,gpt-4o-mini,v2_structured,20251205_160208,train
1085,건강,SNS 스타일,조건문,매일 물을 충분히 마셔야 해.,You should drink enough water every day.,gpt-4o-mini,v2_structured,20251205_160208,train
5364,기후/날씨,SNS 스타일,조건문,습기가 높으면 불쾌할 수 있어요.,"If the humidity is high, it can feel uncomfortable.",gpt-4o-mini,v2_structured,20251205_160208,train
1296,건강,감정 표현 스타일,명령/요청문,물 많이 마시고 충분한 수면을 취해.,Drink plenty of water and get enough sleep.,gpt-4o-mini,v2_structured,20251205_160208,train
8668,자기계발,SNS 스타일,단문,실수는 성공의 일부야.,Mistakes are part of success.,gpt-4o-mini,v2_structured,20251205_160208,train
1340,건강,조언/상담 스타일,비교문,"정기적인 건강 검진이 필요하지만, 지나치게 걱정하는 것은 좋지 않아.","Regular health check-ups are necessary, but being overly anxious about them is not advisable.",gpt-4o-mini,v2_structured,20251205_160208,train
2518,업무,SNS 스타일,조건문,내일 회의 준비 다 했어?,Have you finished preparing for tomorrow's meeting?,gpt-4o-mini,v2_structured,20251205_160208,train
7862,직장 관계,기술 설명체,비교문,팀워크는 개별 성과보다 중요할 때가 많다.,Teamwork often outweighs individual performance.,gpt-4o-mini,v2_structured,20251205_160208,train
2684,업무,감정 표현 스타일,복문,오늘 회의에서 제안된 아이디어가 정말 흥미로웠어요.,The ideas proposed in today's meeting were truly interesting.,gpt-4o-mini,v2_structured,20251205_160208,train
933,일상생활,고객센터 안내 스타일,원인·결과문,기차가 연착돼서 출발이 늦어졌어요.,The departure was delayed because the train was late.,gpt-4o-mini,v2_structured,20251205_160208,train
7433,쇼핑,감정 표현 스타일,조건문,"세일 중인 상품을 찾는다면, 여기로 오세요.","If you are looking for items on sale, come here.",gpt-4o-mini,v2_structured,20251205_160208,train
5379,기후/날씨,SNS 스타일,원인·결과문,폭염 때문에 건강이 걱정돼.,I'm worried about my health due to the heatwave.,gpt-4o-mini,v2_structured,20251205_160208,train
7627,직장 관계,대화체,비교문,자주 회의하는 팀은 소통이 원활한 팀보다 더 생산적일 수 있어.,A team that meets frequently can be more productive than one that communicates smoothly.,gpt-4o-mini,v2_structured,20251205_160208,train
347,여행,감정 표현 스타일,원인·결과문,여행을 통해 많은 것을 배웠기 때문에 감사해.,I'm grateful because I learned a lot through the trip.,gpt-4o-mini,v2_structured,20251205_160208,train
2232,기술,감정 표현 스타일,비교문,AI는 인간의 능력을 보완하는 도구야.,AI is a tool that complements human abilities.,gpt-4o-mini,v2_structured,20251205_160208,train
2359,기술,고객센터 안내 스타일,원인·결과문,소프트웨어 업데이트를 하지 않으면 보안 취약성이 발생할 수 있습니다.,Failing to update the software can lead to security vulnerabilities.,gpt-4o-mini,v2_structured,20251205_160208,train
3667,시간관리,감정 표현 스타일,원인·결과문,마감 기한을 지키면 스트레스를 줄일 수 있어.,"By meeting deadlines, you can reduce your stress levels.",gpt-4o-mini,v2_structured,20251205_160208,train
3525,시간관리,뉴스 기사체,복문,마감일을 엄수하는 것은 전문적인 자세를 보여줍니다.,Meeting deadlines demonstrates a professional attitude.,gpt-4o-mini,v2_structured,20251205_160208,train
7413,쇼핑,감정 표현 스타일,단문,이 옷이 잘 어울리나요?,Does this outfit suit me well?,gpt-4o-mini,v2_structured,20251205_160208,train
3945,감정표현,SNS 스타일,비교문,우울할 땐 햇살이 더 그리워져.,"When I'm down, I miss the sunlight even more.",gpt-4o-mini,v2_structured,20251205_160208,train
5755,교통,문어체(보고서 스타일),단문,지하철은 제시간에 도착합니다.,The subway arrives on time.,gpt-4o-mini,v2_structured,20251205_160208,train
9010,자기계발,고객센터 안내 스타일,명령/요청문,독서를 통해 지식을 늘려보세요.,Expand your knowledge through reading.,gpt-4o-mini,v2_structured,20251205_160208,train
3814,감정표현,대화체,복문,너의 따뜻한 말 한마디에 힘이 나.,Your warm words really lift my spirits.,gpt-4o-mini,v2_structured,20251205_160208,train
8599,자기계발,대화체,명령/요청문,오늘 배운 내용을 정리해봐.,Summarize what you've learned today.,gpt-4o-mini,v2_structured,20251205_160208,train
8671,자기계발,SNS 스타일,단문,매일 10분씩 책 읽어.,Read for 10 minutes every day.,gpt-4o-mini,v2_structured,20251205_160208,train
2447,업무,문어체(보고서 스타일),단문,효율적인 팀워크를 위해 노력해야 합니다.,We must strive for effective teamwork.,gpt-4o-mini,v2_structured,20251205_160208,train
5829,교통,SNS 스타일,복문,운전할 때는 핸드폰을 사용하면 안 돼!,"You can't use your phone while driving, okay!",gpt-4o-mini,v2_structured,20251205_160208,train
9213,사회/뉴스,뉴스 기사체,복문,이번 대회는 세계적인 관심을 받고 있다.,This competition is garnering global attention.,gpt-4o-mini,v2_structured,20251205_160208,train
8631,자기계발,문어체(보고서 스타일),조건문,새로운 경험에 도전하면 더 많은 것을 배울 수 있다.,Challenging yourself with new experiences can lead to greater learning.,gpt-4o-mini,v2_structured,20251205_160208,train
1373,건강,고객센터 안내 스타일,단문,의사와 상담하는 것을 추천합니다.,I recommend consulting with a doctor.,gpt-4o-mini,v2_structured,20251205_160208,train
1316,건강,조언/상담 스타일,복문,충분한 수면은 면역력을 높여.,Getting enough sleep boosts your immune system.,gpt-4o-mini,v2_structured,20251205_160208,train
1021,건강,문어체(보고서 스타일),복문,담배를 끊는 것은 전반적인 건강을 개선하는 데 도움이 됩니다.,Quitting smoking helps improve overall health.,gpt-4o-mini,v2_structured,20251205_160208,train
4862,스포츠,SNS 스타일,단문,다음 경기는 언제야?,When is the next game?,gpt-4o-mini,v2_structured,20251205_160208,train
8980,자기계발,고객센터 안내 스타일,조건문,"자기계발을 원한다면, 독서를 습관화하세요.","If you want personal growth, make reading a habit.",gpt-4o-mini,v2_structured,20251205_160208,train
4573,경제/금융,감정 표현 스타일,복문,지금 경제 상황이 매우 불안정해.,The current economic situation is extremely unstable.,gpt-4o-mini,v2_structured,20251205_160208,train
7894,직장 관계,감정 표현 스타일,단문,좋은 팀이 있어서 행복해.,I'm grateful to have a good team.,gpt-4o-mini,v2_structured,20251205_160208,train
7965,직장 관계,조언/상담 스타일,복문,업무 분담을 명확히 하여 혼란을 줄이세요.,Clarifying task assignments can help reduce confusion.,gpt-4o-mini,v2_structured,20251205_160208,train
8767,자기계발,뉴스 기사체,원인·결과문,자기반성을 통해 성장을 경험할 수 있습니다.,"Through self-reflection, one can experience personal growth.",gpt-4o-mini,v2_structured,20251205_160208,train
252,여행,기술 설명체,복문,기념품을 사는 것도 여행의 큰 즐거움이야.,Buying souvenirs is also one of the great pleasures of traveling.,gpt-4o-mini,v2_structured,20251205_160208,train
5509,기후/날씨,기술 설명체,명령/요청문,자연재해의 빈도가 증가하고 있습니다.,The frequency of natural disasters is increasing.,gpt-4o-mini,v2_structured,20251205_160208,train
8799,자기계발,기술 설명체,복문,실패를 두려워하지 말고 배움을 얻어야 해.,"Do not fear failure; instead, learn from it.",gpt-4o-mini,v2_structured,20251205_160208,train
7768,직장 관계,SNS 스타일,명령/요청문,프로젝트 마감일이 언제야?,When is the deadline for the project?,gpt-4o-mini,v2_structured,20251205_160208,train
7931,직장 관계,감정 표현 스타일,원인·결과문,"팀원들이 서로 도와주면, 프로젝트가 더 잘 진행돼요.","When team members help each other, the project progresses much better.",gpt-4o-mini,v2_structured,20251205_160208,train
4417,경제/금융,SNS 스타일,비교문,크립토는 전통적인 금융 시스템과 달라.,Cryptocurrency differs significantly from traditional financial systems.,gpt-4o-mini,v2_structured,20251205_160208,train
9404,사회/뉴스,조언/상담 스타일,비교문,뉴스를 많이 보면 세상을 더 잘 이해할 수 있어.,"By following the news closely, you can gain a better understanding of the world.",gpt-4o-mini,v2_structured,20251205_160208,train
8049,직장 관계,고객센터 안내 스타일,원인·결과문,팀원들과의 협력이 중요합니다.,Collaboration with team members is essential.,gpt-4o-mini,v2_structured,20251205_160208,train
1920,기술,대화체,조건문,네가 컴퓨터를 잘 다루면 더 많은 일을 할 수 있어.,"If you handle computers well, you can accomplish more tasks.",gpt-4o-mini,v2_structured,20251205_160208,train
8499,IT/AI,고객센터 안내 스타일,복문,문제가 발생하면 언제든지 고객센터에 문의해 주세요.,"If you encounter any issues, please feel free to contact our customer service.",gpt-4o-mini,v2_structured,20251205_160208,train
7930,직장 관계,감정 표현 스타일,원인·결과문,"부장님께 솔직하게 의견을 말하니까, 신뢰가 쌓였어요.","By honestly expressing my opinions to the manager, I've built trust.",gpt-4o-mini,v2_structured,20251205_160208,train
2621,업무,기술 설명체,단문,작업 진행 상황을 공유합시다.,Let's share the progress of the work.,gpt-4o-mini,v2_structured,20251205_160208,train
734,일상생활,기술 설명체,조건문,하루에 물을 많이 마시면 건강에 도움이 된다.,Drinking plenty of water daily can be beneficial for your health.,gpt-4o-mini,v2_structured,20251205_160208,train
6900,문화/예술,기술 설명체,조건문,연극을 관람하면 다양한 연기 기법을 체험할 수 있다.,"If you attend a play, you can experience various acting techniques.",gpt-4o-mini,v2_structured,20251205_160208,train
5729,교통,대화체,비교문,전철은 혼잡할 때 더 빠르게 이동할 수 있어.,Subways can move faster during rush hours.,gpt-4o-mini,v2_structured,20251205_160208,train
8026,직장 관계,고객센터 안내 스타일,복문,같이 일하는 것이 항상 기쁨이에요.,It's always a pleasure to work together.,gpt-4o-mini,v2_structured,20251205_160208,train
4646,경제/금융,조언/상담 스타일,조건문,부채가 쌓이면 이자가 늘어나니까 주의해야 해.,"If you accumulate debt, interest will increase, so be careful.",gpt-4o-mini,v2_structured,20251205_160208,train
9096,사회/뉴스,문어체(보고서 스타일),복문,사회 전반에 걸쳐 가족 친화적인 환경이 조성되어야 한다.,A family-friendly environment must be fostered throughout society.,gpt-4o-mini,v2_structured,20251205_160208,train
790,일상생활,감정 표현 스타일,조건문,영화를 보러 가면 좋을 것 같아.,It would be nice if we went to see a movie.,gpt-4o-mini,v2_structured,20251205_160208,train
8389,IT/AI,감정 표현 스타일,조건문,AI가 나의 일을 대신해준다면 정말 편할 것 같아.,"If AI could take over my tasks, I would feel so relieved.",gpt-4o-mini,v2_structured,20251205_160208,train
4418,경제/금융,SNS 스타일,비교문,주식 거래는 부동산 거래보다 수수료가 더 높아.,Stock trading generally has higher fees than real estate transactions.,gpt-4o-mini,v2_structured,20251205_160208,train
8147,IT/AI,문어체(보고서 스타일),복문,사물인터넷은 우리의 일상생활을 혁신적으로 변화시키고 있습니다.,The Internet of Things is transforming our daily lives in revolutionary ways.,gpt-4o-mini,v2_structured,20251205_160208,train
624,일상생활,SNS 스타일,비교문,집에서 쉬는 게 카페에 가는 것보다 좋아.,Resting at home is better than going to a café.,gpt-4o-mini,v2_structured,20251205_160208,train
744,일상생활,기술 설명체,비교문,자연에서 산책하는 것은 기분 전환에 도움이 돼.,Taking a walk in nature helps to refresh your mood.,gpt-4o-mini,v2_structured,20251205_160208,train
6163,교통,고객센터 안내 스타일,명령/요청문,택시를 호출해 주세요.,Please call a taxi for me.,gpt-4o-mini,v2_structured,20251205_160208,train
9206,사회/뉴스,뉴스 기사체,단문,앞으로의 상황이 주목받고 있다.,The future situation is being closely watched.,gpt-4o-mini,v2_structured,20251205_160208,train
4481,경제/금융,뉴스 기사체,비교문,정부의 재정 정책은 기업에 긍정적인 영향을 미치고 있다.,The government's fiscal policy is positively impacting businesses.,gpt-4o-mini,v2_structured,20251205_160208,train
5156,스포츠,조언/상담 스타일,명령/요청문,운동 후에는 꼭 휴식을 취해야 해.,Always take time to rest after exercising.,gpt-4o-mini,v2_structured,20251205_160208,train
3170,교육,감정 표현 스타일,복문,한 사람의 인생을 바꾸는 것은 교육이라고 생각해.,I believe education has the power to change a person's life.,gpt-4o-mini,v2_structured,20251205_160208,train
7598,직장 관계,대화체,단문,프로젝트 진행 상황을 공유해 줄래?,Could you share the progress on the project?,gpt-4o-mini,v2_structured,20251205_160208,train
1150,건강,뉴스 기사체,조건문,스트레칭을 하면 유연성이 증가한다.,"If you stretch regularly, your flexibility will increase.",gpt-4o-mini,v2_structured,20251205_160208,train
7326,쇼핑,뉴스 기사체,비교문,모바일 앱을 이용한 쇼핑은 더욱 대중화되고 있다.,Shopping through mobile apps is becoming increasingly mainstream.,gpt-4o-mini,v2_structured,20251205_160208,train
8348,IT/AI,기술 설명체,비교문,사물인터넷은 연결성을 높인다.,The Internet of Things enhances connectivity.,gpt-4o-mini,v2_structured,20251205_160208,train
8698,자기계발,SNS 스타일,비교문,긍정적인 마인드를 가진 사람은 언제나 더 나은 결과를 얻어.,People with a positive mindset tend to get better results.,gpt-4o-mini,v2_structured,20251205_160208,train
1889,식당,고객센터 안내 스타일,명령/요청문,식당에 예약을 해주세요.,Please make a reservation at the restaurant.,gpt-4o-mini,v2_structured,20251205_160208,train
1331,건강,조언/상담 스타일,조건문,긍정적인 생각을 하면 스트레스가 줄어들 거예요.,"If you think positively, your stress levels will decrease.",gpt-4o-mini,v2_structured,20251205_160208,train
2931,교육,문어체(보고서 스타일),조건문,"학생들이 수업에 집중할 수 있다면, 학습 효과가 높아질 것이다.","If students can focus on the lessons, their learning outcomes will improve.",gpt-4o-mini,v2_structured,20251205_160208,train
2214,기술,감정 표현 스타일,복문,나는 새로운 기술을 배우는 것이 항상 즐거워.,I always find joy in learning about new technologies.,gpt-4o-mini,v2_structured,20251205_160208,train
6147,교통,고객센터 안내 스타일,비교문,오토바이는 빠르지만 안전성에는 주의해야 해요.,"Motorcycles are fast, but you need to pay attention to safety.",gpt-4o-mini,v2_structured,20251205_160208,train
6436,고객센터,기술 설명체,비교문,채팅 지원은 실시간으로 문제를 해결할 수 있습니다.,Chat support can resolve issues in real time.,gpt-4o-mini,v2_structured,20251205_160208,train
5869,교통,SNS 스타일,명령/요청문,자전거 도로를 이용해.,Use the bike lane.,gpt-4o-mini,v2_structured,20251205_160208,train
4054,감정표현,기술 설명체,조건문,상실감은 누구에게나 찾아올 수 있는 감정이다.,Feelings of loss can occur to anyone.,gpt-4o-mini,v2_structured,20251205_160208,train
4,여행,대화체,단문,새로운 음식도 많이 먹어보고 싶어.,I want to try a lot of new foods.,gpt-4o-mini,v2_structured,20251205_160208,train
2819,업무,고객센터 안내 스타일,조건문,"상담원이 필요하신 경우, 대기 중인 고객과 연결해 드립니다.","If you need an agent, we will connect you with the waiting customer.",gpt-4o-mini,v2_structured,20251205_160208,train
8556,자기계발,대화체,복문,매일 작은 목표를 세우는 것이 중요해.,It's important to set small goals every day.,gpt-4o-mini,v2_structured,20251205_160208,train
7041,문화/예술,조언/상담 스타일,원인·결과문,예술가의 삶을 이해하면 그들의 작품이 더 깊이 와닿아.,Understanding an artist's life makes their work resonate more deeply.,gpt-4o-mini,v2_structured,20251205_160208,train
9425,사회/뉴스,조언/상담 스타일,명령/요청문,지역 사회 활동에 참여해보는 건 어때?,How about getting involved in community activities?,gpt-4o-mini,v2_structured,20251205_160208,train
107,여행,문어체(보고서 스타일),원인·결과문,자연 경관을 감상하면 스트레스가 해소된다.,Enjoying natural scenery alleviates stress.,gpt-4o-mini,v2_structured,20251205_160208,train
4642,경제/금융,조언/상담 스타일,복문,지출을 줄이려면 먼저 불필요한 항목을 점검해야 해.,"To cut down on expenses, you should first review unnecessary items.",gpt-4o-mini,v2_structured,20251205_160208,train
5991,교통,감정 표현 스타일,단문,이 도로는 항상 막혀.,This road is always congested.,gpt-4o-mini,v2_structured,20251205_160208,train
765,일상생활,기술 설명체,명령/요청문,영화를 보러 갈 계획이에요.,I plan to go watch a movie.,gpt-4o-mini,v2_structured,20251205_160208,train
5957,교통,기술 설명체,조건문,길을 건널 때는 좌우를 잘 살펴야 한다.,"When crossing the street, you should look left and right carefully.",gpt-4o-mini,v2_structured,20251205_160208,train
6762,문화/예술,SNS 스타일,단문,사진 찍는 걸 정말 좋아해.,I really enjoy taking pictures.,gpt-4o-mini,v2_structured,20251205_160208,train
4240,감정표현,고객센터 안내 스타일,비교문,피곤한 마음은 행복한 마음보다 더 빨리 지칠 수 있어.,A tired mind can wear out faster than a happy one.,gpt-4o-mini,v2_structured,20251205_160208,train
1176,건강,뉴스 기사체,명령/요청문,정기적인 건강 검진을 받으십시오.,Please get regular health check-ups.,gpt-4o-mini,v2_structured,20251205_160208,train
2603,업무,뉴스 기사체,원인·결과문,신뢰받는 리더십이 있으면 직원들의 사기가 높아진다.,Trustworthy leadership boosts employee morale.,gpt-4o-mini,v2_structured,20251205_160208,train
316,여행,감정 표현 스타일,복문,그곳의 문화는 나에게 많은 영감을 줬어.,The culture there inspired me greatly.,gpt-4o-mini,v2_structured,20251205_160208,train
37,여행,대화체,비교문,자연을 즐기고 싶다면 국립공원이 최고야.,"If you want to enjoy nature, national parks are the best.",gpt-4o-mini,v2_structured,20251205_160208,train
6157,교통,고객센터 안내 스타일,원인·결과문,차량 정체가 심한 시간대를 피하면 더 빨리 갈 수 있습니다.,Avoiding peak traffic hours can help you travel faster.,gpt-4o-mini,v2_structured,20251205_160208,train
6825,문화/예술,뉴스 기사체,복문,서울은 현대 예술과 고전 문화가 조화를 이루는 도시입니다.,Seoul is a city where modern art and classical culture harmoniously coexist.,gpt-4o-mini,v2_structured,20251205_160208,train
6801,문화/예술,SNS 스타일,원인·결과문,책을 읽으면 새로운 세계를 경험하게 돼.,Reading books lets you experience new worlds.,gpt-4o-mini,v2_structured,20251205_160208,train
7430,쇼핑,감정 표현 스타일,복문,이 매장은 다양한 브랜드를 갖추고 있어서 좋아.,I love that this store carries a variety of brands.,gpt-4o-mini,v2_structured,20251205_160208,train
1091,건강,SNS 스타일,조건문,정신적인 휴식도 필요해.,You also need some mental relaxation.,gpt-4o-mini,v2_structured,20251205_160208,train
1419,건강,고객센터 안내 스타일,명령/요청문,충분한 수면을 취하는 것이 좋습니다.,It is advisable to get enough sleep.,gpt-4o-mini,v2_structured,20251205_160208,train
5970,교통,기술 설명체,비교문,전기차는 전통적인 차량보다 환경 친화적이다.,Electric cars are more environmentally friendly than traditional vehicles.,gpt-4o-mini,v2_structured,20251205_160208,train
2803,업무,고객센터 안내 스타일,단문,이용약관을 확인해 주세요.,Please review the terms of service.,gpt-4o-mini,v2_structured,20251205_160208,train
519,일상생활,대화체,원인·결과문,배고프니까 간식을 먹을 거야.,I'm going to eat a snack since I'm hungry.,gpt-4o-mini,v2_structured,20251205_160208,train
7979,직장 관계,조언/상담 스타일,비교문,직장 동료와의 소통은 중요해.,Communication with colleagues is essential.,gpt-4o-mini,v2_structured,20251205_160208,train
4658,경제/금융,조언/상담 스타일,비교문,"주식은 쉽게 사고팔 수 있지만, 부동산은 그렇지 않아.","Stocks can be bought and sold easily, whereas real estate transactions are more complex.",gpt-4o-mini,v2_structured,20251205_160208,train
4504,경제/금융,기술 설명체,단문,한국의 경제는 지속적으로 성장하고 있다.,The Korean economy is continuously growing.,gpt-4o-mini,v2_structured,20251205_160208,train
1513,식당,문어체(보고서 스타일),비교문,그곳의 분위기는 다른 곳에 비해 더 아늑하다.,The ambiance there is cozier compared to other places.,gpt-4o-mini,v2_structured,20251205_160208,train
4542,경제/금융,기술 설명체,비교문,전국 평균 소득과 지역 평균 소득은 종종 차이가 난다.,National average income often differs from regional average income.,gpt-4o-mini,v2_structured,20251205_160208,train
1663,식당,기술 설명체,단문,주말에는 예약하는 것이 좋습니다.,It's recommended to make a reservation on weekends.,gpt-4o-mini,v2_structured,20251205_160208,train
5607,기후/날씨,조언/상담 스타일,비교문,겨울철은 여름보다 더 많은 옷을 입어야 해.,"In winter, you need to wear more clothes compared to summer.",gpt-4o-mini,v2_structured,20251205_160208,train
1264,건강,감정 표현 스타일,조건문,운동을 조금만 더 하면 기분이 좋아질 거야.,"If you exercise a bit more, you'll feel much better.",gpt-4o-mini,v2_structured,20251205_160208,train
6042,교통,감정 표현 스타일,명령/요청문,교통 체증이 너무 심해.,The traffic congestion is really bad right now.,gpt-4o-mini,v2_structured,20251205_160208,train
2817,업무,고객센터 안내 스타일,조건문,"배송 상태를 확인하고 싶으시다면, 아래 링크를 클릭하세요.","If you want to check the delivery status, click the link below.",gpt-4o-mini,v2_structured,20251205_160208,train
